Index,Context,Judgement
40,"In view of above discussion and keeping in view the facts and circumstances of the case, the
plaintiff bank is held entitled to decree of recovery of sum of Rs.7,93,742.27/- with simple interest @
5% p.a. against the defendant from the date of filing of the suit till realisation of the amount. No
order as to cost. Decree sheet be prepared accordingly. File be consigned to record room.",Petitioner
41,"Now, in which of the above principles does the violation of sub-clause (iii) concerned herein fall? In
our opinion, it falls under Principles No.3 and 4(a) mentioned above. Though the copies of the
statements of two witnesses [Kaur Singh, Patwari and Balwant Singh] were not furnished, the
respondent was permitted to peruse them and take notes therefrom more than three days prior to
their examination. Of the two witnesses, Balwant Singh was not examined and only Kaur Singh was
examined. The respondent did not raise any objection during the enquiry that the non-furnishing of
the copies of the statements is disabling him or has disabled him, as the case may be, from
effectively cross- examining the witnesses or to defend himself. The Trial Court has not found that
any prejudice has resulted from the said violation. The Appellate Court has no doubt said that it has
prejudiced the respondent's case but except merely mentioning the same, it has not specified in
what manner and in what sense was the respondent prejudiced in his defence. The High Court, of
course, has not refereed to aspect of prejudice at all.
For the above reasons, we hold that no prejudice has resulted to the respondent on account of not
furnishing him the copies of the statements of witnesses. We are satisfied that on account of the said
violations it cannot he said that the respondent did not have a fair hearing or that the disciplinary
enquiry against him was not a fair enquiry. Accordingly, we allow the appeal and set aside the
judgment of the High Court affirming the judgments of the Trial Court and Appellate Court. the suit
filed by the respondent shall stand dismissed.",Petitioner
42,"I have given a careful consideration to the rival submissions. I agree with the contentions put
forth by the learned counsel for the Assessee and hold that (i) rule 128(9) of the Rules does not
provide for disallowance of FTC in case of delay in filing Form No. 67; (ii) filing of Form No. 67 is
not mandatory but a directory requirement and (iii) DTAA overrides the provisions of the Act and
the Rules cannot be contrary to the Act. I am of the view that the issue was not debatable and there
was only one view possible on the issue which is the view set out above. I am also of the view that the
issue in the proceedings u/s. 154 of the Act, even if it involves long drawn process of reasoning, the
answer to the question can be only one and in such circumstances, proceedings u/s. 154 of the Act,
can be resorted to. Even otherwise the ground on which the revenue authorities rejected the
Assessee's application u/s. 154 of the Act was not on the ground that the issue was debatable but on
merits. I therefore do not agree with the submission of the learned DR in this regard.
In the result, the appeal is allowed.'
In view of the above order of the Tribunal, we direct the AO to give credit for foreign tax as per
Form 67 filed on 22-9-2018 before Ld. CIT(A) after due verification.
Respectfully following the above, we direct the AO to give credit for foreign tax as per Form No.67
filed on 02.04.2021 after due verification as per law.
ITA No.1088/Bang/2022
In the result, appeal of the assessee is allowed for statistical purposes.",Petitioner
43,"Upon completion of these formalities, the respondents shall grant interim custody of the vehicle
forthwith to the petitioner without any delay. If this undertaking given by the petitioner is breached,
the petitioner will not be entitled to interim custody of the vehicle in future. The Writ Petition is
allowed accordingly. I make it clear that allowing of this writ https://www.mhc.tn.gov.in/judis 5
W.P.(MD)NO.331 OF 2023 petition will not have any bearing on the confiscation proceedings that
may be initiated by the authorities. No costs.",Petitioner
44,"19. In view of the legal position which we have referred to aforesaid, these continuing acts of the respondent would
amount to cruelty even if the same had not arisen as a cause prior to the institution of the petition, as was found by
the Trial Court. This conduct shows disintegration of marital unity and thus disintegration of the marriage. (A.
Jayachandra v. Aneel Kaur, (2005) 2 SCC 22). In fact, there was no initial integration itself which would allow
disintegration afterwards. The fact that there have been continued allegations and litigative proceedings and that can
amount to cruelty is an aspect taken note of by this court. (Malathi Ravi v. B.V. Ravi, (2014) 7 SCC 640) The
marriage having not taken of from its inception and 5 years having been spent in the Trial Court, it is difficult to
accept that the marriage soon after the decree of divorce, within 6 days, albeit 6 years after the initial inception of
marriage, amounts to conduct which can be held against the appellant.
20. In the conspectus of all the aforesaid facts, this is one case where both the ground of irretrievable breakdown of
marriage and the ground of cruelty on account of subsequent facts would favour the grant of decree of divorce in
favour of the appellant.
21. We are, thus, of the view that a decree of divorce dissolving the marriage between the parties be passed not only
in exercise of powers under Article 142 of the Constitution of India on account of irretrievable breakdown of marriage,
but also on account of cruelty under Section 13(1)(i-a) of the Act in light of the subsequent conduct of the respondent
during the pendency of judicial proceedings at various stages.
22. The decree of divorce is, accordingly, passed. Marriage stands dissolved.
The appeals are allowed in the aforesaid terms leaving the parties to bear their own costs.",Petitioner
45,"The only submission advanced is that petitioner has by now completed two years in prison. Mere
fact of staying in custody for two years cannot be a ground in the given facts of the case to grant
regular bail to the petitioner in the face of provisions of Section 37 of the NDPS Act. Trial of the case
is stated to be underway. The status report records that prosecution evidence is being led and the
matter is now fixed for recording statements of remaining witnesses on 11th and 12th January,
2023.
Insofar as the ground taken by the petitioner regarding sickness of his father is concerned, it may be
observed here that on the same ground, the petitioner was twice enlarged on interim bail vide orders
passed on 14.07.2021 in Cr.MP(M) No.1311 of 2021 and 14.09.2021 in Cr.MP(M) No.1750 of 2021.
His third bail petition [Cr.MP(M) No.300 of 2022] seeking release on interim bail on the same
ground of sickness of his father was dismissed on 11.02.2022. Instant petition though has been filed
seeking release of petitioner on regular bail, however, one of the grounds urged is alleged sickness of
his father. The petitioner has placed on record an unsigned computerized form. According to
learned counsel for the petitioner, in terms of this form, petitioner's father, aged about 56 years, has
been referred by ECHS, Shimla on 20.12.2022 for further treatment to any ECHS Empanelled
Medical Facility. This sole document is not sufficient to record satisfaction at this stage that
petitioner's father requires petitioner's physical presence for the illness alleged to be suffered by
him. The nature and extent of alleged illness of petitioner's father is also not clear from this
document.
The petitioner has criminal history inasmuch as one FIR No.55/2019, registered against him at
Police Station Sundernagar, District Mandi, under Sections 20 and 29 of the NDPS Act, is yet
pending trial before the .
Court of competent jurisdiction.
In view of the above, I find no merit in the instant petition and the same is accordingly dismissed
alongwith pending miscellaneous application(s), if any.",Respondent
46,"In view of the clear testimony of the appellant, all the alleged offences against him stand duly
proved.
Hence, I find no fault or irregularity in the order of Addl. Sessions Judge and I am not inclined
to interfere with the impugned order dated 21.11.2019 and the order on sentence dated 28.11.2019
passed by the Ld. Trial Court, ASJ-06, (POCSO), Shahdara District, Karkardooma Courts, Delhi in
SC No. 123/2017 arising out of FIR No. 26/2017, under section 363/366/376 IPC and section 6 of
POCSO Act, registered at PS Shahdara.
The appeal is accordingly dismissed.",Respondent
47,"In view of the clear testimony of the appellant, all the alleged offences against him stand duly
proved.
Hence, I find no fault or irregularity in the order of Addl. Sessions Judge and I am not inclined
to interfere with the impugned order dated 21.11.2019 and the order on sentence dated 28.11.2019
passed by the Ld. Trial Court, ASJ-06, (POCSO), Shahdara District, Karkardooma Courts, Delhi in
SC No. 123/2017 arising out of FIR No. 26/2017, under section 363/366/376 IPC and section 6 of
POCSO Act, registered at PS Shahdara.
The appeal is accordingly dismissed.",Respondent
48,"We, therefore, uphold the decision of the Appellate Court that has restored the
findings returned in the arbitral award dated 05th June, 2005 to the effect that the State of
Himachal Pradesh had proceeded to terminate the Implementation Agreement before
expiry of the prescribed period which could have been extended up to 24 months,
reckoned from the “effective date”. In the instant case, the State of H.P. had terminated
the Implementation Agreement five months prior to the stipulated period by adopting a
distorted interpretation of Clause 4 of the Implementation Agreement, which was
impermissible.

In view of the above discussion, Civil Appeal No. 10341 of 2011 preferred by UHL
is partly allowed to the extent mentioned in para 6 above, while Civil Appeal No. 10342
of 2011 filed by the State of Himachal Pradesh is rejected in toto. Parties are left to bear
their own costs.",Ambiguity
49,"It is a matter of serious concern that despite repeated pronouncement of this Court, the High
Courts continue to ignore the availability of statutory remedies under the DRT Act and SARFAESI
Act and exercise jurisdiction under Article 226 for passing orders which have serious adverse impact
on the right of banks and other financial institutions to recover their dues. We hope and trust that in
future the High Courts will exercise their discretion in such matters with greater caution, care and
circumspection.
28. Insofar as this case is concerned, we are convinced that the High Court was not at all justified in
injuncting the appellant from taking action in furtherance of notice issued under Section 13(4) of the
Act.
29. In the result, the appeal is allowed and the impugned order is set aside. Since the respondent has
not appeared to contest the appeal, the costs are made easy.",Petitioner
50,"Now, in which of the above principles does the violation of sub-clause (iii) concerned herein fall? In
our opinion, it falls under Principles No.3 and 4(a) mentioned above. Though the copies of the
statements of two witnesses [Kaur Singh, Patwari and Balwant Singh] were not furnished, the
respondent was permitted to peruse them and take notes therefrom more than three days prior to
their examination. Of the two witnesses, Balwant Singh was not examined and only Kaur Singh was
examined. The respondent did not raise any objection during the enquiry that the non-furnishing of
the copies of the statements is disabling him or has disabled him, as the case may be, from
effectively cross- examining the witnesses or to defend himself. The Trial Court has not found that
any prejudice has resulted from the said violation. The Appellate Court has no doubt said that it has
prejudiced the respondent's case but except merely mentioning the same, it has not specified in
what manner and in what sense was the respondent prejudiced in his defence. The High Court, of
course, has not refereed to aspect of prejudice at all.
For the above reasons, we hold that no prejudice has resulted to the respondent on account of not
furnishing him the copies of the statements of witnesses. We are satisfied that on account of the said
violations it cannot he said that the respondent did not have a fair hearing or that the disciplinary
enquiry against him was not a fair enquiry. Accordingly, we allow the appeal and set aside the
judgment of the High Court affirming the judgments of the Trial Court and Appellate Court. the suit
filed by the respondent shall stand dismissed.",Petitioner
51,"It is to further observe that last entry of credit for Rs.5000/- was made by the defendant on
30.01.2016, as reflected from the account statement Ex.PW1/16 and again, the account was declared
NPA on 14.07.2016 and therefore, suit is well within the period of limitation of three years.
It is to further observe that the plaintiff has also claimed pendentelite and future simple interest
@ 18% per annum on the said amount till its realization, however the agreed rate of interest was
@12.5% p.a. at monthly rest along with 2% penal interest and therefore, plaintiff is entitled to the
interest @14.5 % p.a. at Civil Suit No:? 1026/18 (Vivek Kumar Agarwal) CJ?03/KKD/Delhi Punjab
National Bank Vs. M/s Vidya Darshan Graphics monthly rest to be calculated from the date of
institution of suit till the realization of the amount.
In view of aforesaid discussion, suit of the plaintiff is hereby partly decreed with costs to the effect
that defendant no.2, being proprietor of defendant no.1, is directed to pay the amount of
Rs.2,22,551/- alongwith interest @ 14.5% per annum at monthly rest to be calculated on the said
amount from the date of institution of suit till the date of realization of the said amount, within two
months from date of decree. In case of non-compliance on behalf of the defendant, the plaintiff is at
liberty to approach the court for satisfaction of decree.",Petitioner
52,"In view of above discussion and keeping in view the facts and circumstances of the case, the
plaintiff bank is held entitled to decree of recovery of sum of Rs.7,93,742.27/- with simple interest @
5% p.a. against the defendant from the date of filing of the suit till realisation of the amount. No
order as to cost. Decree sheet be prepared accordingly. File be consigned to record room.",Petitioner
53,"With the aforesaid directions, the present application accordingly stands disposed off. The
applicant/petitioner is directed to get this order served upon the respondent through electronic
modes i.e. email and Whatsapp within 7 days from today and file its affidavit of compliance on
record, alongwith the proof of service, on the aforesaid dedicated email ID of the court within 10
days from today.",Respondent
54,"Keeping in view the unrebutted testimony of PW1 and documents relied upon, it can be said that
the plaintiff has duly established its case that defendant has unlawfully withheld the amount due to
the plaintiff which the plaintiff in entitled to recover. Further since defendant no. 2 stood
surety/guarantor to the loan facility availed by defendant no.1, his liability being co-extensive, the
plaintiff is also entitled to recover the alleged amount from defendant no. 2 in alternate or together
with defendant no.1. Now though the statement of accounts Ex PW1/7 reflect a liability of
Rs.2,21,188/- pending on part of the defendant, plaintiff has sought recovery for Rs. 2,18,284/- only.
12. In view of the above discussion, therefore, the suit of the plaintiff is decreed. The plaintiff is
awarded decree for recovery of Rs. 2,18,284/- along with cost of suit along with prayed interest @
13.70 % per annum from the date of filing of the suit till the date of realization of the amount
decreed.",Petitioner
55,"Moreover, in the present case, there was no parent order under Section 27 of the 1986 Act, to justify the
issuance of a warrant of arrest against the decree-holder/petitioners. In the absence of an adjudication under Section
27, such issuance of warrant to ensure presence of any parties was de hors the law.
55.Over and above such illegality, the impugned order of issuance of arrest warrant against the petitioners is vitiated
in view of the previous appearance of the petitioners in connection with the execution application before the Forum
on several occasions. Once the defaulting party appears before the Forum, the justification behind the issuance of a
warrant of arrest to ensure presence of such party pales into insignificance. The impugned order was passed beyond
the jurisdiction of the Forum on such score as well.
56. In the present case, a composite application under Sections 25 and 27 of the 1986 Act was made. However, the
said two sections retain their independent scope of operation and cannot be used as substitutes of each other. The
specific modality provided in Section 25 ought to have been exhausted by the Forum for execution of its order, before
taking resort to issuance of a warrant of arrest unnecessarily.
57.Even from a different perspective, the impugned order directing arrest warrant to be issued was not passed within
the contemplation of Section 27, which envisages an order of imprisonment and/or fine and does not deal with
issuance of arrest warrants to ensure appearance of parties, particularly when they have already entered
appearance before the Forum.
58. Hence, the impugned order was passed by the District Forum palpably without jurisdiction.
59.Accordingly, C.O. No.724 of 2021 is allowed, thereby setting aside Order No.23 dated March 10, 2021 passed by
the District Consumer Disputes Redressal Commission, Purba Bardhaman in rejecting/modifying its order dated

March 5, 2021 passed in M.A. No.52 of 2020, in connection with E.A. No.12 of 2019.
60. The warrant of arrest issued by the impugned order, thus, stands recalled.
61. The District Forum is requested, however, to expedite the hearing of the execution application as well as all
connected interlocutory applications.
62. There will be no order as to costs.",Petitioner
56,"The principles stated above in the context of cheques can be extrapolated for promissory notes as well.
Resultantly an obligation has been imposed on the transferee of the promissory notes, to be deemed to be a 'Holder
in due course', that the notes should have been acquired in good faith; after exercising reasonable care and caution
about the holder's title. In the present case, while the Shankar Lal Saraf's (holder) title over the Bonds/Promissory
Notes is not in dispute but as discussed earlier, Shankar Lal Saraf's holding stood cleared by the Company Court
only on 17.12.2004 but before the said judgment, there was a cloud over his title. Consequently, the plaintiff's status
as 'holder in due course' was suspect at the relevant point of time.
 The defendant bank was therefore justified in withholding payment till conclusion of dispute in Company Court,
even though the relief claimed was in respect of an 'unconditional undertaking', as there were reasonable legal
concerns for the transaction during the suspect spell, for making such payments.",Respondent
57,"Reverting back to the situation here, the Revenue does not contend that the Assessee Banks had held the
securities for maintaining the Statutory Liquidity Ratio (SLR), as mentioned in the circular. In view of this position,
when there is no finding that the investments of the Assessee are of the related category, tax implication would not
arise against the appellants, from the said circular.
 The aforesaid discussion and the cited judgments advise this Court to conclude that the proportionate
disallowance of interest is not warranted, under Section 14A of Income Tax Act for investments made in tax free
bonds/ securities which yield tax free dividend and interest to Assessee Banks in those situations where, interest free
own funds available with the Assessee, exceeded their investments. With this conclusion, we unhesitatingly agree
with the view taken by the learned ITAT favouring the assessees.

 The above conclusion is reached because nexus has not been established between expenditure disallowed and
earning of exempt income. The respondents as earlier noted, have failed to substantiate their argument that
assessee was required to maintain separate accounts. Their reliance on Honda Siel (Supra) to project such an
obligation on the assessee, is already negated. The learned counsel for the revenue has failed to refer to any
statutory provision which obligate the assessee to maintain separate accounts which might justify proportionate
disallowance.

 In view of the forgoing discussion, the issue framed in these appeals is answered against the Revenue and in
favour of the assessee. The appeals by the Assessees are accordingly allowed with no order on costs.",Petitioner
58,"However, the documents produced in support of his claim are xerox copies of the rent receipts and the first xerox
copy of the rent receipt is of 12.05.2013 which is after the date of creation of the mortgage. It is pertinent to note here
that the Borrowers have not claimed that any tenant is staying at the Secured Asset. At the time of grant of facility,
thirdparty valuers had also confirmed that the Borrowers were staying at the Secured Asset. Be that as it may.
The appellant has pleaded tenancy from 12.06.2012 to 17.12.2018.
This is not supported by any registered instrument. Further, even according to the appellant, he is a
""tenantinsufferance"", therefore, he is not entitled to any protection of the Rent Act. Secondly, even ifthe tenancy has
been claimed to be renewed in terms of Section 13(13) of the SARFAESI Act, the Borrower would be required to
seek consent of the secured creditor for transfer of the Secured Asset by way of sale, lease or otherwise, after
issuance of the notice under Section 13(2) of the SARFAESI Act and, admittedly, no such consent has been sought
by the Borrower in the present case. In view of above, we do not find any merit in these appeals which are accordingly dismissed.",Respondent
59,"In our considered view the impugned judgment and order of the High Court declining
anticipatory bail to the appellant cannot be sustained and is consequently set aside.
We direct the appellant to join the investigation and fully cooperate with the investigating
agency. In the event of arrest the appellant shall be released on bail on his furnishing a personal
bond in the sum of Rs.50,000/- with two sureties in the like amount to the satisfaction of the
arresting officer.
Consequently, this appeal is allowed and disposed of in terms of the aforementioned
observations.",Petitioner
60,"The Government order authorised the Inspector Gener- al of Police to investigate only the
offences failing under Section 5 of the Act. Therefore, the SHO who has taken up the investigation of
the offences inclusive of those under Section 161 and 165 IPC is not at all clothed with any authority
to investigate these two offences, registered under the IPC, apart from the offence under Section
5(2) of the Act. However, as the question relating to the legal authority of the SHO is raised even at
the initial stage, it would be proper and also desirable that the investigation, if at all to be proceeded
with in the opinion of the State Government, should proceed only on the basis of a valid order in
strict compliance with the mandatory provision of Section 5A(1). [315G-H; 3 16A-B] &",Respondent
61,"In view of the above discussion, we hold that the High Court in exercise of its inherent powers can quash criminal proceedings or FIR or complaint and Section 320 of the Code does not limit or affect the powers under Section 482 of the Code.

For the foregoing reasons, we set aside the impugned judgment and allow the appeal and quash the FIR above mentioned.",Petitioner
62,"While ensuring and protecting the rights of the accused and the complainant, a preliminary inquiry should be made time bound and in any case it should not exceed 7 days. The fact of such delay and the causes of it must be reflected in the General Diary entry.
Since the General Diary/Station Diary/Daily Diary is the record of all information received in a police station, we direct that all information relating to cognizable offences, whether resulting in registration of FIR or leading to an inquiry, must be mandatorily and meticulously reflected in the said Diary and the decision to conduct a preliminary inquiry must also be reflected, as mentioned above.
With the above directions, we dispose of the reference made to us. List all the matters before the appropriate Bench for disposal on merits.",Ambiguity
63,"In view of the fact that this is a case of circumstantial evidence and further in view of the fact that two views are possible on the evidence on record, one pointing to the guilt of the accused and the other his innocence, the accused is entitled to have the benefit of one which is favourable to him. In that view of the matter I agree with my learned brothers that the guilt of the accused has not been proved beyond all reasonable doubt.",Petitioner
64,"In the present case, we are of the opinion that the material on record does not disclose a prima facie case calling for an investigation by the CBI. The mere allegation of the appellant that his son was murdered because he had discovered some corruption cannot, in our opinion, justify a CBI inquiry, particularly when inquiries were held by the Army authorities as well as by the G.R.P. at Mathura, which revealed that it was a case of suicide.
It has been stated in the impugned order of the High Court that the G.R.P. at Mathura had investigated the matter and gave a detailed report on 29.8.2003. It is not clear whether this report was accepted by the Magistrate or not. If the report has been accepted by the Magistrate and no appeal/revision was filed against the order of the learned Magistrate accepting the police report, then that is the end of the matter. However, if the Magistrate has not yet passed any order on the police report, he may do so in accordance with law and in the light of the observations made above.",Respondent
65,"On an overall view of the facts as indicated hereinabove and keeping in mind the decision of this Court in B.S. Joshi's case (supra) and the compromise arrived at between the Company and the Bank as also clause 11 of the consent terms filed in the suit filed by the Bank, we are satisfied that this is a fit case where technicality should not be allowed to stand in the way in the quashing of the criminal proceedings, since, in our view, the continuance of the same after the compromise arrived at between the parties would be a futile exercise.
We, therefore, set aside the order passed by the High Court dismissing the petitioner's revision application No.49 of 2003 in Special Case No.80 of 1998 and quash the proceedings against the appellant. The appeal is accordingly allowed.",Respondent
66,"Material on record shows that the respondent has admitted her child in a convent at Ooty. Though it is contended by the learned counsel for the petitioner that the child is a hostler and therefore, the respondent has not extended her love and affection, it is not uncommon that many students are studying in hostels and Boarding Schools and that cannot be a reason to contend that the mother has no love and affection towards the child.
Pleadings disclose that in order to improve the performance of the child in sports activities, the respondent has shifted him from one school to another and that itself would show the love and affection of the mother, in developing the child's interest in the field, in which, he has shown excellence. It is now well settled that the Court can consider the views of the minors also in deciding the custody and guardianship. Record of proceedings shows that in the instant case, the child has been enquired and that he has expressed happiness and desire to be with the respondent-mother. Though the respondent got remarried in the year 2006, there is absolutely no complaint from the child that re-marriage has affected his mental condition or education. The child has been living with the respondent for so many years and uprooting the custody and separating the child from the mother at this length of time, would certainly affect the education and mental condition of the child.
In view of the above discussion, this Court considered is of the view that the lower Court has considered the paramount welfare of the child, in all respects and accordingly, found that the custody and guardianship should be retained with the mother of the child. There is no manifest illegality. The Civil Miscellaneous Appeal is dismissed. No costs. Consequently, connected Miscellaneous Petitions are also closed.",Respondent
67,"Taking an overall view of the aforesaid facts of the present case, the judicial conscious of the court impels us to disbelieve and disagree with the finding of the learned trial court holding the appellant guilty of committing rape of his daughter in the month of November - December 2006. The evidence produced by the prosecution and even the medical evidence does not lead us to believe that the appellant had committed a rape of his daughter.
In view of the aforesaid discussions, the appeal filed by the appellant is allowed and the judgment passed by the learned trial court is set aside. It is ordered accordingly.
The appellant is in custody and he be released forthwith, if not required in any other case.",Petitioner
68,"In this case, this Court is of the view that this is one of the appropriate cases where a suitable direction to be issued to the State Government to pay the compensation. Accordingly, the Home Secretary to the Government of Tamil Nadu is directed to pay compensation of Rs.5,00,000/- to the victim within three months from today.
Since the sentence imposed upon the appellants (A1 to A4) has been enhanced to life imprisonment, the appellants are directed to surrender before the trial Court or the trial Court is directed to take steps to secure the custody of the appellants/accused to undergo the remaining period of sentence.
With these observations, the appeals as well as the revision are disposed of.",Respondent
69,"For the reasons give above, we maintain the death sentence awarded to Dharampal and Nirmal along with fine imposed upon them as they snuffed out five innocent lives and brought about the total elumination of the line of Tale, their co-village. Snuffing out the lives of five innocent persons did not take place on account of some provocation in the heat of moment, but it was a premeditated and calculated act executed by them through a chalked out plan at night time thinking that the ghastly, barbaric and brute murders might go unnoticed and the police might work on the theory that these are blind murders. They do not deserve any leniency. So, death sentence passed upon them is confirmed. Fine imposed is also maintained. Entire amount of fine if recovered, shall go to Nirmala and Punam alias Bimla, daughters of Tale. Criminal Appeal fails and is dismissed. Murder reference is answered in the affirmative.",Petitioner
70,"In view of the above, we do not find any reason to interfere with the well reasoned judgment and order of the High Court. The facts of the case do not warrant review of the findings recorded by the courts below.
The appeals lack merit and are accordingly dismissed.",Respondent
71,"So far as offence under section 354 of the IPC is concerned, almost all material witnesses have made consistent statements on the aforesaid occurrence and, in my opinion, the prosecution succeeded to prove the charge under section 354 of the IPC.
Appellant has been sentenced to undergo rigorous imprisonment for one year under section 354 of the IPC and from perusal of the lower court record, it would appear that the appellant was remanded in the case on 24.4.1998 and remained in custody till 21.8.1999. Furthermore, I find that after prouncement of judgment of conviction, the appellant was taken in custody on 18.10.2001 and he remained in custody till 21.1.2002 and, therefore, in my view, the period already undergone by the appellant during the course of trial as well as during the pendency of the appeal shall meet the ends of justice.
On the basis of the aforesaid discussions, this criminal appeal is partly, allowed and the conviction of the appellant for the offences under sections 366 and 376 of the IPC is, hereby, set aside and so far as conviction of the appellant under section 354 of the IPC is concerned, the same is confirmed but the sentence awarded to him under section 354 of the IPC is reduced to the already period undergone by him in course of trial as well as during the pendency of the appeal.",Ambiguity
72,"Having considered the given facts and circumstances of the case and keeping in mind the parameters laid down by the Hon'ble Apex Court in the decisions cited AB No. 8 of 2022 P a g e | 27 above and also the gravity of the offence, this Court is of the view that the petitioner cannot be granted anticipatory bail in this case.
In the result, the anticipatory bail application is dismissed. The interim order already granted by this Court is vacated.
It is made clear that the observations made in this order are limited to the question of considering the anticipatory bail to the petitioner and this Court has not delved into the merits of the offences levelled against the petitioner.",Respondent
73,"This Court declares that Section 27(3) of Arms Act, 1959 is ultra vires the Constitution and is declared void. The appeal is thus dismissed on merits and the High Court judgment acquitting the respondent is affirmed.",Respondent
74,"Coming now to the facts of this case the Trial Court acquit- ted the co-accused but convicted the appellant under section 302, IPC. The High Court has confirmed that conviction. Mr. Lalit is right when he says that the prosecution evidence does not disclose that the fatal blow which caused injury No. 1 was given by the appellant. Inherent of this submission is the assumption that the fatal blow was given by someone else. That establishes the fact that more that one person partici- pated in the commission of the crime. We have also on an independent appreciation of the evidence of the three eye witnesses, namely, PW 1 Komal Chand, PW 3 Kishan Lal and PW 4 Ramesh, come to the conclusion that several persons had participated in the commission of the crime. The failure on the part of the prosecution witnesses PWs 3 and 4 to identi- fy the others does not alter the situation. We are, on the other hand, convinced from the evidence of PW 1 Komal Chand that some of the co-accused, particularly, Gunda, Parsu and Gopal had participated in the commission of the crime. It is another matter that in the absence of a State appeal the High Court could not, nor can we, interfere with their acquittal, but as rightly'pointed in Brathi's case this Court is not bound by the facts found proved on the appreci- ation of evidence by the courts below and is, in law, enti- tled to reach its own conclusion different from the one recorded by the court's below on a review of the evidence. In that view of the matter we think that the conviction of the appellant can be sustained with the aid of section 34 or 149, IPC, as the case may be. In the present case we feel it safe to confirm the conviction of the appellant with the aid of section 34, IPC. We, therefore, cannot agree with the submission of the learned counsel for the appellant that at best the conviction can be recorded under section 324, IPC. We confirm the conviction of the appellant under section 302, IPC, with the aid of section 34 and maintain the sen- tence awarded to him.For the above reasons we see no merit in this appeal and dismiss the same.",Respondent
75,"In view of the above, all the appeals are dismissed. So far as Nedu @ Nedunchezhian (A.2), Madhu @ Ravindran (A.3) and C. Muniappan (A.4) are concerned, sentence of death imposed on them is confirmed and the same be executed in accordance with law.

However, in Criminal Appeal Nos.1632-1634 of 2010 (arising out of SLP (Crl.) Nos. 1482-1484 of 2008), the sentences are reduced as undergone. All of them are on bail, their bail bonds stand discharged. These criminal appeals stand disposed of accordingly.",Respondent
76,"The fact that there has to be clear evidence of the guilt of the accused and that in the absence of that it is not possible to record a finding of his guilt was stressed by this Court in the case of Shivaji Sahabrao Bobade & Anr. (supra) as is clear from the following observations :
""Certainly it is a primary principle that the accused must be and not merely may be guilty before a court can convict and the mental distinction between 'may be' and 'must be' is long and divides vague conjectures from sure considerations"".
As a result of the above, we accept the appeal, set aside the judgments of the. trial court and the High Court and acquit the accused.
P.B.R.
Appeal allowed.",Petitioner
77,"That is the only way to have the record corrected. If no such step is taken, the matter must necessarily end there. Of course a party may resile and an Appellate Court may permit him in rare and appropriate cases to resile from a concession on the ground that the concession was made on a wrong appreciation of the law and had led to gross injustice; but, he may not call in question the very fact of making the concession as recorded in the judgment.""For the aforementioned reasons , there is no merit in these appeals which are dismissed. However, in the facts and circumstances of the case, there shall be no order as to costs.",Respondent
78,"It was contended by Dr. Singhvi that the acquisition was really for the cooperative housing societies which are companies within the definition of the word company' in s. 3(e) of the Act, and, therefore, the provisions of Part VII of the Act should have been complied with. Both the learned Single Judge and the Division Bench of the High Court were of the view that the acquisition was not for company. We see no reason to differ from their view. The mere fact that after the acquisition the Government proposed to hand over, or, in fact, handed over, a portion of the property acquired for development to the cooperative housing societies would not make the acquisition one for company'. Nor are we satisfied that there is any merit in the contention that compensation to be paid for the acquisition came from the consideration paid by the cooperative societies. In the light of the averments in the counter affidavit filed in the writ petitions here, it is difficult to hold that it was cooperatives which provided the fund for the acquisition. Merely because the Government allotted a part of the property to cooperative societies for development, it would not follow that the acquisition was for cooperative societies, and therefore, Part VII of the Act was attracted. It may be noted that the validity of the notification under s. 4 and the declaration under s. 6 was in issue in Udai Ram Sharma and Others v. Union of India(1) and this Court upheld their validity.
We see no merit in the appeals and the writ petitions. They are, therefore, dismissed with costs.
Petitions dismissed.",Respondent
79,"In view of the findings arrived at by this Court in a qualitative and quantitative manner in respect of Issues No.1 to 11 as aforesaid, this Court holds that the Petitioner is not entitled to any of the reliefs sought for by him in his Election Petition and accordingly, the Issue is so answered.
Disposition:
In the result, the Election Petition is dismissed. Considering the facts and circumstances of the present case and also this Court, exercising its Judicial discretion, directs the contesting parties viz., the Petitioner and the 1st Respondent to bear their own costs.",Respondent
80,"In this case, we have concurrent finding by two Courts below to the effect that in the absence of any complaint by the Election Commissioner, the complaint of the Petitioner is hit by Section 195(1)(a) CrPC. In a proceeding under Section 482, the High Court will not enter into any finding of facts, particularly, when the matter has been concluded by concurrent finding of facts of two courts below. Such powers can be exercised to secure ends of justice, prevent abuse of the process of any court and to make such orders as may be necessary to give effect to any order under this Code, depending upon the facts of a given case. After taking into consideration the facts and circumstances of the case, it appears that the present petition invoking the jurisdiction of this Court under Section 482 CrPC is just to satisfy the personal vendetta by the Petitioner, the inherent power of this Court cannot be exercised in such type of cases.",Respondent
